Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
26296,Yehu Health services,Yehu Health services,016913,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,3,3,Kilifi,Kilifi North,Kilifi North,Mnarani,Operational,No,Yes,Yes,No,,Yes,Yes,No
26227,Esidende Dispensary,Esidende Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Busia,Nambale,Nambale,Bukhayo Central,Operational,No,No,No,No,,Yes,Yes,No
26231,Lamheal Maternity & Nursing Home,Lamheal Maternity & Nursing Home,017509,Level 2,Nursing and Maternity Home,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,20,0,Nyamira,Borabu,Borabu,Mekenene,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26317,Phoenix Rehabilation Centre,Phoenix Rehabilation Centre,None,Level 2,Rehab. Center - Drug and Substance abuse,STAND ALONE,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,24,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26242,AL- BUKHARI MATERNITY AND NURSING HOME,AL- BUKHARI MATERNITY AND NURSING HOME,017489,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,30,1,Mandera,Mandera North,Mandera North,Rhamu,Operational,Yes,No,Yes,Yes,,Yes,Yes,No
26316,Kimunye Health Service,Kimunye Health Service,Pending,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kirinyaga,Gichugu,Kirinyaga East,Kabare,Operational,No,No,No,No,,Yes,Yes,No
26232,Osani Community Health & Development- Mbita,Osani Community Health & Development- Mbita,017552,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,16,0,Homa Bay,Mbita,Mbita,Gembe,Operational,Yes,No,No,No,,Yes,Yes,No
26243,Nanasi Medical Sevices,Nanasi Medical Sevices,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kiambu,Thika Town,Thika Town,Kamenu,Operational,No,No,No,No,,Yes,Yes,No
26206,Caspian Bella Hospital,Caspian Bella Hospital,None,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Medical Specialist,Private Practice,None,26,2,Trans Nzoia,Saboti,Saboti,Matisi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26252,Shirshir dispensary,Shirshir dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,5,0,Mandera,Mandera North,Mandera North,Guticha,Operational,No,No,No,No,,Yes,Yes,No
26224,New Mazeras Health care Clinic,New Mazeras Health care Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Kilifi,Rabai,Rabai,Rabai/Kisurutini,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
26205,Beril's GWP Medical centre,Beril's GWP Medical Centre,017464,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,20,0,Homa Bay,Kasipul,Rachuonyo South,West Kasipul,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26204,Oasis Heath Doctors Plaza Eldoret,Oasis Heath Doctors Plaza Eldoret,008810,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,No,No,No,No,,Yes,Yes,No
26228,Oasis Doctors Plaza Webuye,Oasis Doctors Plaza Webuye,None,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Bungoma,Webute West,Webuye West,Matulo,Operational,No,Yes,Yes,No,,Yes,Yes,No
None,Kaibu Integrated Medical Clinic,Kaibu Integrated Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Meru,Igembe South,Igembe South,Kiegoi/Antubochiu,Operational,No,Yes,Yes,No,,Yes,Yes,No
26208,Kam Health Care Services,Kam Health Care Services,0619,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Starehe,Starehe,Nairobi Central,Operational,No,No,No,No,,Yes,Yes,No
26201,Sintakara Dispensary,Sintakara Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,5,2,Narok,Narok East,Narok East,Suswa,Operational,No,No,Yes,No,,Yes,Yes,No
None,Ambaaru Medical Clinic,Ambaaru Medical Clinic,4/1/6/5B,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Meru,Igembe South,Igembe South,Kiegoi/Antubochiu,Operational,No,Yes,Yes,No,,Yes,Yes,No
26195,Odyssey Opticians Clinic,Odyssey Opticians Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,0,0,Machakos,Matungulu,Matungulu,Tala,Operational,No,Yes,Yes,No,,Yes,Yes,No
26300,Westend Clinic Gisambai,Westend Clinic Gisambai,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,None,1,0,Vihiga,Hamisi,Hamisi,Gisambai,Operational,No,No,Yes,No,,Yes,Yes,No
26197,JACARANDA STEDCARE MEDICAL CLINIC,JACARANDA STEDCARE MEDICAL CLINIC,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,None,0,0,Uasin Gishu,Kapseret,Kapseret,Langas,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26188,Bahati Hospital - Tala Medical Centre,Bahati Hospital - Tala Medical Centre,017467,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Machakos,Matungulu,Matungulu,Tala,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26297,Boyani Disp,Boyani Dispensary,n/a,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Kwale,Matuga,Matuga,Kubo South,Operational,No,No,No,No,,Yes,Yes,No
26251,Ngelanis Medical &Surgical,Ngelanis Medical &Surgical,017372,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Embu,Mbeere South,Mbeere South,Makima,Operational,No,No,No,No,,Yes,Yes,No
26223,Rubbermoja Medical Clinic LTD,Rubbermoja Medical Clinic LTD,18386,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Clinical Officers Council,0,0,Kilifi,Kilifi South,Kilifi South,Mtepeni,Operational,Yes,No,No,No,,Yes,Yes,No
26184,Odeng'ero Dispensary,Odeng'ero Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Busia,Teso South,Teso South,Amukura Central,Operational,No,No,No,No,,Yes,Yes,No
26209,Macho Medical Center,Macho Medical Center,003267,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi Central,Embakasi Central,Kayole North,Operational,No,No,No,No,,Yes,Yes,No
26212,The Marikiti Medical Center,The Marikiti Medical Center,016475,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Embakasi West,Embakasi West,Mowlem,Operational,No,No,Yes,No,,Yes,Yes,No
26187,Nyamanga Dispensary(Nyatike),Nyamanga Dispensary(Nyatike),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,7,1,Migori,Nyatike,Nyatike,Kachien'g,Operational,No,No,No,No,,Yes,Yes,No
26196,Katiko Dispensary,Katiko Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Turkana,Turkana North,Turkana North,Lakezone,Operational,No,Yes,Yes,No,,Yes,Yes,No
26199,Bombure Dispensary,Bombure Dispensary,Not yet,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,1,Kisii,South Mugirango,South Mugirango,Tabaka,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26320,Floder Medical Centre,Floder Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26174,Kokuro Dispensary,Kokuro Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,0,Migori,Awendo,Awendo,Central Sakwa,Operational,No,No,No,No,,Yes,Yes,No
26198,Maingate Health Services,Maingate Health Services,017526,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kiambu,Juja,Juja,Juja,Operational,No,No,No,No,,Yes,Yes,No
26172,Al Ibraheem Therapeutic Limited,Al Ibraheem Therapeutic Limited,016662,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Private Company,Private Practice,Pharmacy & Poisons Board,3,0,Garissa,Garissa Township,Garissa,Waberi,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
26319,Starmax Medical Centre,Starmax Medical Centre,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Mutira,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
26244,Thika Sam's Nursing Home,Thika Sam's Nursing Home,45451,Level 3,Nursing Homes,NURSING HOME,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,25,0,Kiambu,Thika Town,Thika Town,Kamenu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26245,Athena Medical Clinic,Athena Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,0,0,Kiambu,Thika Town,Thika Town,Kamenu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
None,Randa Medical Servises,Randa Medical Services,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,Kilifi,Malindi,Malindi,Shella,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26248,Mugutha (SDA) Dispensary,Mugutha (SDA) Dispensary,017459,Level 2,Dispensary,DISPENSARY,Seventh Day Adventist,Faith Based Organization,Kenya MPDB,0,0,Kiambu,Juja,Juja,Murera,Operational,No,No,No,No,,Yes,Yes,No
26176,Simatwet Dispensary,Simatwet Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,2,0,Trans Nzoia,Kiminini,Kiminini,Waitaluk,Operational,No,No,No,No,,Yes,Yes,No
26250,Manyanga Dispensary,Manyanga Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Tharaka Nithi,Tharaka,Tharaka North,Gatunga,Operational,No,No,No,No,,Yes,Yes,No
26226,Kanyambo Dispensary,Kanyambo Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Tharaka Nithi,Tharaka,Tharaka North,Gatunga,Operational,No,No,No,No,,Yes,Yes,No
26256,Accucare Clinic and Home Based Nursing,Accucare Clinic and Home Based Nursing,017519,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Kiambu,Kabete,Kabete,Kabete,Operational,No,Yes,Yes,No,,Yes,Yes,No
26191,Bonyunyu prime Health Care Maternity and Nursing Home,Bonyunyu prime Health care Maternity and Nursing Home,017276,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),20,5,Nyamira,North Mugirango,Nyamira North,Itibo,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26221,Jambo Medical Clinic and Maternity LTD Kanamai,Jambo Medical Clinic and Maternity LTD Kanamai,12931,Level 3,Nursing Homes,NURSING HOME,Private Practice - General Practitioner,Private Practice,Clinical Officers Council,30,2,Kilifi,Kilifi South,Kilifi South,Mtepeni,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26295,Mtwapa Creek,Mtwapa Creek,017399,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Kilifi,Kilifi South,Kilifi South,Shimo La Tewa,Operational,No,No,No,No,,Yes,Yes,No
26192,Meddheal Hospital Maternity and Nursing Home,Meddheal Hospital Maternity and Nursing Home,017279,Level 3,Nursing and Maternity Home,NURSING HOME,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),35,10,Nyamira,North Mugirango,Nyamira North,Ekerenyo,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26194,New Ikonge Medical Centre,New Ikonge Medical Center,017414,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),35,5,Nyamira,North Mugirango,Nyamira North,Ekerenyo,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26171,Hamdan Medical Clinic,Hamdan Medical Clinic,016482,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Garissa,Garissa Township,Garissa,Galbet,Operational,No,No,No,Yes,,Yes,Yes,No
26150,Geta Dispensary (Masaba),Geta Dispensary (Masaba),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Nyamira,Kitutu Masaba,Masaba North,Gesima,Operational,No,No,No,No,,Yes,Yes,No
26151,Kapina Dispensary,Kapina Dispensary,,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Busia,Nambale,Nambale,Bukhayo North/Walatsi,Operational,No,No,No,No,,Yes,Yes,No
26146,THE ROYAL KINGS MEDICAL CENTRE,THE ROYAL KINGS MEDICAL CENTRE,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Busia,Butula,Butula,Marachi West,Operational,No,Yes,Yes,No,,Yes,Yes,No
26254,Mbamburi Medicare Ltd,Mbamburi Medicare Ltd,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26257,Equity Afia Medical Clinic Ruaka,Equity Afia Medical Clinic Ruaka,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26258,Joeton Medical Clinic,Joeton Medical Clinic,017032,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26253,Rwaka Health Care Services,Rwaka Health Care Services,016068,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,0,0,Kiambu,Kiambaa,Kiambaa,Ndenderu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26214,Om Shanti Medical Clinic(South C),Om Shanti Medical Clinic,002185,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,South C,Operational,No,No,Yes,No,,Yes,Yes,No
26210,Penda Health Limited Langata,Penda Health Limited Langata,017315,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Langata,Langata,Mugumo-ini,Operational,No,No,No,Yes,,Yes,Yes,No
26169,Ankara Nursing Home,Ankara Nursing Home,014524,Level 3,Nursing Homes,NURSING HOME,Private Practice Lab Technician/Technologist,Private Practice,Kenya MPDB,20,4,Wajir,Wajir East,Wajir East,Township,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26091,Chiromo Mental Health Hospital,Chiromo Mental Health Hospital,None,Level 5,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,103,0,Nairobi,Dagoretti North,Dagoretti North,Kileleshwa,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26148,The Life Gate Health Care Clinic,The Life Gate Health Care Clinic,017318,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Kenya MPDB,0,0,Kisumu,Nyando,Nyando,Ahero,Operational,No,No,No,No,,Yes,Yes,No
26101,Consolata Kyeni Kibugua Dispensary,Consolata Kyeni Kibugua Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,None,0,0,Tharaka Nithi,Chuka/Igambang'ombe,Chuka,Magumoni,Operational,No,No,Yes,No,,Yes,Yes,No
26088,El Shaddai Medical Clinic,El Shaddai Medical Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),0,0,Trans Nzoia,Saboti,Saboti,Saboti,Operational,No,Yes,Yes,No,,Yes,Yes,No
26170,Texas Cancer Centre Nairobi West,Texas Cancer Centre Nairobi West,None,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,52,0,Nairobi,Langata,Langata,Nairobi West,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
None,Randa Medical Services,Randa Medical Services,None,Level 3,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,None,0,0,Kilifi,Malindi,Malindi,Shella,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
26134,Cks Dialysis Centre Buruburu,Cks Dialysis Centre Buruburu,015826,Level 2,Dialysis Center,STAND ALONE,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,Nairobi,Makadara,Makadara,Harambee,Operational,No,No,No,No,,Yes,Yes,No
26075,Ntonyero dispensary,Ntonyero dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,Meru,Central Imenti,Imenti Central,Abothuguchi Central,Operational,No,No,No,No,,Yes,Yes,No
26099,Equity Afia Meru,Equity Afia Meru,017447,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,Meru,North Imenti,Imenti North,Municipality,Operational,No,Yes,Yes,No,,Yes,Yes,No
26055,Qorka Dispensary,Qorka Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Marsabit,North Horr,North Horr,North Horr,Operational,No,No,No,No,,Yes,Yes,No
26054,Toricha Dispensary,Toricha Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Marsabit,North Horr,North Horr,Maikona,Operational,No,No,No,No,,Yes,Yes,No
26107,Emmanuel Community Health Clinic(Kiamariga),Emmanuel Community Health Clinic(Kiamariga),001882,Level 2,Medical Center,MEDICAL CENTER,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,0,0,Nyeri,Mathira,Mathira West,Ruguru,Operational,No,Yes,Yes,Yes,,Yes,Yes,No
26114,Fortis Kidney Center Limited(Upper hill),Fortis Kidney Center Limited,016285,Level 3,Medical Center,MEDICAL CENTER,Private Practice - Private Company,Private Practice,Kenya MPDB,0,0,Nairobi,Kibra,Kibra,Woodley/Kenyatta Golf Course,Operational,No,No,No,No,,Yes,Yes,No
26051,Eliss Medical clinic,Eliss Medical clinic,R3456,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,3,0,Kakamega,Matungu,Matungu,Koyonzo,Operational,No,No,No,No,,Yes,Yes,No
26052,Shibale Medical Clinic,Shibale Medical Clinic,3456,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,2,0,Kakamega,Matungu,Matungu,Koyonzo,Operational,No,No,No,No,,Yes,Yes,No
26084,Oceamnic Medical  Clinic,Oceamnic Medical  Clinic,None,Level 2,Medical Clinic,MEDICAL CLINIC,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,2,0,Kakamega,Matungu,Matungu,Mayoni,Operational,No,No,No,No,,Yes,Yes,No
26135,Kwa Dadu Dispensary,Kwa Dadu Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,None,0,0,Kilifi,Ganze,Ganze,Sokoke,Operational,No,No,No,No,,Yes,Yes,No
26149,Port Florence Community Hospital,Port Florence Community Hospital,015291,Level 2,Medical Clinic,MEDICAL CLINIC,Non-Governmental Organizations,Non-Governmental Organizations,Pharmacy & Poisons Board,0,0,Kisumu,Nyando,Nyando,Ahero,Operational,No,No,No,No,,Yes,Yes,No
26065,Omorembe Community Hospital,Omorembe Community Hospital,017454,Level 3,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,45,2,Kisii,Bomachoge Chache,Bomachoge Chache,Bosoti/Sengera,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No
